0xADA149~Update.esm	MAG_DrinkAlcoholFortify
0xADA146~Update.esm	MAG_FoodFortifyHealthEffect
0xADA147~Update.esm	MAG_FoodFortifyMagickaEffect
0xADA148~Update.esm	MAG_FoodFortifyStaminaEffect
0xADA145~Update.esm	MAG_FoodMarriageEffect

0x807~Gourmet.esp	MAG_DrinkAlcoholDamage
0x9FE~Gourmet.esp	MAG_FoodCorrectorKeyword
0x969~Gourmet.esp	MAG_FoodItemDrugs
0x808~Gourmet.esp	MAG_FoodItemRaw
0xA4B~Gourmet.esp	MAG_FoodTypeAle
0xA50~Gourmet.esp	MAG_FoodTypeBread
0x9EA~Gourmet.esp	MAG_FoodTypeCheese
0xA63~Gourmet.esp	MAG_FoodTypeChowder
0xA64~Gourmet.esp	MAG_FoodTypeChowderHot
0xA4A~Gourmet.esp	MAG_FoodTypeCrab
0x8A3~Gourmet.esp	MAG_FoodTypeDessert
0xA4D~Gourmet.esp	MAG_FoodTypeDrugs
0xA49~Gourmet.esp	MAG_FoodTypeFish
0xA4F~Gourmet.esp	MAG_FoodTypeFruit
0x8A0~Gourmet.esp	MAG_FoodTypeMeat
0xA60~Gourmet.esp	MAG_FoodTypePie
0xA61~Gourmet.esp	MAG_FoodTypePieHot
0xA6A~Gourmet.esp	MAG_FoodTypePoisoned
0x9E9~Gourmet.esp	MAG_FoodTypeSoup
0x9E8~Gourmet.esp	MAG_FoodTypeStew
0xA4E~Gourmet.esp	MAG_FoodTypeStewHot
0x8A2~Gourmet.esp	MAG_FoodTypeVegetable
0xA4C~Gourmet.esp	MAG_FoodTypeWine
0x9F8~Gourmet.esp	MAG_MagicGourmetSecrets
0x93B~Gourmet.esp	MAG_VendorItemDrugs
0x95E~Gourmet.esp	VendorItemCookbook
